Ekipman_ID,cbs_id
53134975.0,53134975.0
53134976.0,53134976.0
53134977.0,53134977.0
53134978.0,53134978.0
53134979.0,53134979.0
53134981.0,53134981.0
53134988.0,53134988.0
53135020.0,53135020.0
53135021.0,53135021.0
53135023.0,53135023.0
53135024.0,53135024.0
53135025.0,53135025.0
53135027.0,53135027.0
53135037.0,53135037.0
53135038.0,53135038.0
53135039.0,53135039.0
53135041.0,53135041.0
53135042.0,53135042.0
53135045.0,53135045.0
53135046.0,53135046.0
53135047.0,53135047.0
53135048.0,53135048.0
53135051.0,53135051.0
53135059.0,53135059.0
53135062.0,53135062.0
53135064.0,53135064.0
53135065.0,53135065.0
53135069.0,53135069.0
53135072.0,53135072.0
53135077.0,53135077.0
53135078.0,53135078.0
53135079.0,53135079.0
53135083.0,53135083.0
53135099.0,53135099.0
53135101.0,53135101.0
53135103.0,53135103.0
53135109.0,53135109.0
53135113.0,53135113.0
53135117.0,53135117.0
53135119.0,53135119.0
53135120.0,53135120.0
53135121.0,53135121.0
53135124.0,53135124.0
53135125.0,53135125.0
53135129.0,53135129.0
53135134.0,53135134.0
53135356.0,53135356.0
53135357.0,53135357.0
53135410.0,53135410.0
53135412.0,53135412.0
53135427.0,53135427.0
53135428.0,53135428.0
53135429.0,53135429.0
53135468.0,53135468.0
53135470.0,53135470.0
53135471.0,53135471.0
53135485.0,53135485.0
53135486.0,53135486.0
53135488.0,53135488.0
53135511.0,53135511.0
53135513.0,53135513.0
53135520.0,53135520.0
53135521.0,53135521.0
53135525.0,53135525.0
53135528.0,53135528.0
53135529.0,53135529.0
53135534.0,53135534.0
53135537.0,53135537.0
53135538.0,53135538.0
53135540.0,53135540.0
53135542.0,53135542.0
53135561.0,53135561.0
53135562.0,53135562.0
53135563.0,53135563.0
53135568.0,53135568.0
53135569.0,53135569.0
53135570.0,53135570.0
53135572.0,53135572.0
53135575.0,53135575.0
53135581.0,53135581.0
53135583.0,53135583.0
53135589.0,53135589.0
53135590.0,53135590.0
53135591.0,53135591.0
53135601.0,53135601.0
53135602.0,53135602.0
53135605.0,53135605.0
53135608.0,53135608.0
53135613.0,53135613.0
